Date,Log_Return
2020-01-31,0.02986856612044931
2020-02-29,0.004469427953152614
2020-03-31,0.0359075415240277
2020-04-30,0.07092119425632101
2020-05-31,0.0006338650110665617
2020-06-30,0.0006345217220327781
2020-07-31,0.07316851262029565
2020-08-31,0.04069738916611635
2020-09-30,-0.008778975437398086
2020-10-31,0.03170240174343859
2020-11-30,-0.08
2020-12-31,-0.008629190142810274
2021-01-31,0.019678490862641364
2021-02-28,-0.06653120978631193
2021-03-31,-0.058996713300521315
2021-04-30,-0.012491501169638907
2021-05-31,-0.03051324481337695
2021-06-30,0.022569893303810956
2021-07-31,-0.026320963020848437
2021-08-31,-0.04649214805341166
2021-09-30,0.06862595075686216
2021-10-31,0.0009689479805385735
2021-11-30,0.012701128187516954
2021-12-31,-0.04698992744853827
2022-01-31,-0.011775308981007307
2022-02-28,-0.12
2022-03-31,-0.03603974309689211
2022-04-30,0.025027920733826876
2022-05-31,-0.0140255475967522
2022-06-30,-0.0016677499917310719
2022-07-31,-0.014068264489175876
2022-08-31,0.08409112738035751
2022-09-30,0.009460111010482643
2022-10-31,-0.03230843715823601
2022-11-30,0.04290179648412756
2022-12-31,-0.03883374599884089
2023-01-31,0.018354543800190217
2023-02-28,-0.06838680495519103
2023-03-31,-0.04312744195593722
2023-04-30,0.01787444943476494
2023-05-31,0.039538663199816415
2023-06-30,0.01685473124759882
2023-07-31,0.005374068704470379
2023-08-31,-0.002044147823571551
2023-09-30,-0.0491408796146971
2023-10-31,-0.1
2023-11-30,-0.0084255508383915
2023-12-31,0.05228488904875663
2024-01-31,0.023744731582738456
2024-02-29,-0.06052160621450935
2024-03-31,0.022963358775791802
2024-04-30,-0.005403291216652662
2024-05-31,-0.017076880012238352
2024-06-30,0.03446705155363471
2024-07-31,0.05123998089983804
2024-08-31,0.04725120476464795
2024-09-30,-0.02356870092890554
2024-10-31,-0.0023684950340485834
2024-11-30,0.02325053725614256
2024-12-31,0.04902180508489437
2025-01-31,-0.0091669695138116
2025-02-28,0.0025736409334473154
